measure	genre	annotation	Fleiss_kappa
LLR	scifi	IAA_interpretable	0.06666666666666643
Zeta	scifi	IAA_interpretable	0.4570135746606334
WelchT	scifi	IAA_interpretable	0.4570135746606334
LLR	policier	IAA_interpretable	0.33035714285714274
Zeta	policier	IAA_interpretable	-0.0416666666666673
WelchT	policier	IAA_interpretable	0.659090909090909
LLR	sentimental	IAA_interpretable	0.4570135746606334
Zeta	sentimental	IAA_interpretable	0.8642533936651584
WelchT	sentimental	IAA_interpretable	0.39999999999999986
LLR	blanche	IAA_interpretable	0.18552036199095004
Zeta	blanche	IAA_interpretable	0.3212669683257919
WelchT	blanche	IAA_interpretable	0.4570135746606334
